date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:03	2400/2400	---M--	200	added ('OK')	text/html	etag:W/%22375-17ff417bb19%22	http://127.0.0.1:5500/index.html	E:/Develpements/snake%20game%20with%20server/snake%20game/127.0.0.1_5500/index.html	(from )
15:32:03	149/149	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Apr%202022%2010:32:03%20GMT	http://127.0.0.1:5500/robots.txt		(from )
15:32:04	1477/1477	---M--	200	added ('OK')	text/css	etag:W/%225c5-17ff3f70925%22	http://127.0.0.1:5500/css/menuStyle.css	E:/Develpements/snake%20game%20with%20server/snake%20game/127.0.0.1_5500/css/menuStyle.css	(from http://127.0.0.1:5500/index.html)
15:32:04	2180/2180	---M--	200	added ('OK')	text/html	etag:W/%22299-17ff3f92df4%22	http://127.0.0.1:5500/Single_player.html	E:/Develpements/snake%20game%20with%20server/snake%20game/127.0.0.1_5500/Single_player.html	(from http://127.0.0.1:5500/index.html)
15:32:05	2184/2184	---M--	200	added ('OK')	text/html	etag:W/%2229d-17ff413d49f%22	http://127.0.0.1:5500/Double_player.html	E:/Develpements/snake%20game%20with%20server/snake%20game/127.0.0.1_5500/Double_player.html	(from http://127.0.0.1:5500/index.html)
15:32:05	2787/2787	---M--	200	added ('OK')	text/html	etag:W/%224f8-17ff3f75acb%22	http://127.0.0.1:5500/control.html	E:/Develpements/snake%20game%20with%20server/snake%20game/127.0.0.1_5500/control.html	(from http://127.0.0.1:5500/index.html)
15:32:09	119931/119931	---M--	200	added ('OK')	image/x-icon	etag:W/%221d47b-17e16d16628%22	http://127.0.0.1:5500/img/snake.ico	E:/Develpements/snake%20game%20with%20server/snake%20game/127.0.0.1_5500/img/snake.ico	(from http://127.0.0.1:5500/index.html)
15:32:09	1218/1218	---M--	200	added ('OK')	text/css	etag:W/%224c2-17e1b6ba907%22	http://127.0.0.1:5500/css/style.css	E:/Develpements/snake%20game%20with%20server/snake%20game/127.0.0.1_5500/css/style.css	(from http://127.0.0.1:5500/Single_player.html)
15:32:10	3195/3195	---M--	200	added ('OK')	application/javascript	etag:W/%22c7b-17ff40f5e11%22	http://127.0.0.1:5500/js/index.js	E:/Develpements/snake%20game%20with%20server/snake%20game/127.0.0.1_5500/js/index.js	(from http://127.0.0.1:5500/Single_player.html)
15:32:10	1975/1975	---M--	200	added ('OK')	text/css	etag:W/%227b7-17ff41eab19%22	http://127.0.0.1:5500/css/doubleStyle.css	E:/Develpements/snake%20game%20with%20server/snake%20game/127.0.0.1_5500/css/doubleStyle.css	(from http://127.0.0.1:5500/Double_player.html)
15:32:11	5677/5677	---M--	200	added ('OK')	application/javascript	etag:W/%22162d-17ff416fb32%22	http://127.0.0.1:5500/js/double.js	E:/Develpements/snake%20game%20with%20server/snake%20game/127.0.0.1_5500/js/double.js	(from http://127.0.0.1:5500/Double_player.html)
15:32:12	63300/63300	---M--	200	added ('OK')	image/jpeg	etag:W/%22f744-17e1419f01f%22	http://127.0.0.1:5500/img/bg3.JPG	E:/Develpements/snake%20game%20with%20server/snake%20game/127.0.0.1_5500/img/bg3.jpg	(from http://127.0.0.1:5500/css/menuStyle.css)
15:32:12	7912/7912	---M--	200	added ('OK')	image/jpeg	etag:W/%221ee8-17e1b6b69ad%22	http://127.0.0.1:5500/img/green_bg.jpg	E:/Develpements/snake%20game%20with%20server/snake%20game/127.0.0.1_5500/img/green_bg.jpg	(from http://127.0.0.1:5500/css/style.css)
15:32:15	67871/67871	---M--	200	added ('OK')	image/jpeg	etag:W/%221091f-17e14127494%22	http://127.0.0.1:5500/img/bg2.JPG	E:/Develpements/snake%20game%20with%20server/snake%20game/127.0.0.1_5500/img/bg2.jpg	(from http://127.0.0.1:5500/css/doubleStyle.css)
